food_id,food_name,food_group,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,allergies,region,serving_size_g,food_type,protein_calorie_ratio,nutrient_score,health_score,diversity_score,energy_category,allergy_list,contains_milk,contains_egg,contains_peanut,contains_tree_nut,contains_soy,contains_wheat,contains_fish,contains_shellfish,contains_gluten,contains_sesame,protein_g_normalized,fat_g_normalized,carb_g_normalized,protein_kcal,fat_kcal,carb_kcal,protein_pct,fat_pct,carb_pct
0,palak paneer,vegetarian,175.0,11.66666667,10.5,12.83333333,2.333333333,3.5,29.16666667,milk,north india,100,lunch,0.06,1.166666667,26.5,4,Low,['milk'],True,False,False,False,False,False,False,False,False,False,0.19645451903609829,0.35748792260869566,0.132420091369863,42.0,115.49999997,46.66666668,20.57,56.57,22.86
1,chole bhature,vegetarian,355.0,53.25,11.83333333,17.75,5.916666667,7.1,0.0,gluten,north india,100,lunch,0.03333333333,1.183333333,44.5,7,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.22357841705989703,0.49999999999999994,0.7020547945205479,47.33333332,159.75,213.0,11.27,38.03,50.7
2,butter chicken,non-vegetarian,320.0,9.142857143,22.85714286,18.28571429,2.742857143,1.828571429,64.0,milk,north india,100,lunch,0.07142857143,0.9142857143,64.5,2,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.44783493176466393,0.5155279504347827,0.09784735812328768,91.42857144,164.57142861,36.571428572,31.25,56.25,12.5
3,dal tadka,vegetarian,233.0,40.775,13.98,5.825,1.165,5.825,0.0,unknown,pan-india,100,lunch,0.06,1.165,56.5,5,Low,[],False,False,False,False,False,False,False,False,False,False,0.2672478930551965,0.15434782608695652,0.5311643835616437,55.92,52.425000000000004,163.1,20.6,19.31,60.09
4,masala dosa,vegetarian,335.9999999,47.99999998,6.719999998,11.52,0.9599999997,2.879999999,0.0,gluten,south india,100,breakfast,0.02,0.96,32.5,4,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.11955826790570234,0.3194202898550724,0.6301369860273972,26.879999992,103.67999999999999,191.99999992,8.33,32.14,59.52
5,chicken biryani,non-vegetarian,455.0,55.61111111,25.27777778,15.16666667,5.055555556,2.022222222,91.0,unknown,pan-india,100,lunch,0.05555555556,1.011111111,51.5,2,High,[],False,False,False,False,False,False,False,False,False,False,0.49707772292996566,0.42512077304347823,0.7343987823287671,101.11111112,136.50000003,222.44444444,21.98,29.67,48.35
6,samosa,vegetarian,229.9999999,27.59999999,4.599999999,9.199999998,3.679999999,4.599999999,0.0,gluten,pan-india,100,snacks,0.02,0.92,24.0,1,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.07643126996038774,0.25217391298550723,0.350684931369863,18.399999996,82.79999998199999,110.39999996,8.7,39.13,52.17
7,paneer tikka,vegetarian,182.0,8.088888889,15.16666667,10.11111111,2.022222222,1.011111111,30.33333333,milk,pan-india,100,lunch,0.08333333333,1.011111111,44.0,5,Low,['milk'],True,False,False,False,False,False,False,False,False,False,0.29138816242453774,0.27858293072463763,0.08340943683561643,60.66666668,90.99999998999999,32.355555556,32.97,49.45,17.58
8,aloo gobi,vegetarian,154.0,20.53333333,5.133333333,6.16,1.026666667,5.133333333,0.0,unknown,pan-india,100,dinner,0.03333333333,1.026666667,28.5,3,Low,[],False,False,False,False,False,False,False,False,False,False,0.0872808292105931,0.16405797101449274,0.2538812784931507,20.533333332,55.44,82.13333332,12.99,35.06,51.95
9,mutton rogan josh,non-vegetarian,385.0,9.625,27.43125,24.0625,3.85,0.9625,96.25,unknown,pan-india,100,dinner,0.07125,0.9475,60.0,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.540885643708758,0.6829710144927537,0.10445205479452055,109.725,216.5625,38.5,30.08,59.37,10.55
10,idli,vegetarian,176.0,35.2,5.866666666,4.693333333,0.0,4.693333333,0.0,gluten,south india,100,breakfast,0.03333333333,1.173333333,28.0,2,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.10219897315419682,0.12154589371014494,0.4547945205479452,23.466666664,42.239999997,140.8,11.36,20.45,68.18
11,upma,vegetarian,256.0,51.2,7.68,10.24,1.28,3.84,0.0,gluten,pan-india,100,breakfast,0.03,1.28,28.5,2,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.1390874745723463,0.28231884057971013,0.673972602739726,30.72,92.16,204.8,9.38,28.12,62.5
12,chicken korma,non-vegetarian,327.9999999,11.24571428,23.42857142,18.74285714,3.748571428,0.9371428569,70.28571427,milk,pan-india,100,lunch,0.07142857143,0.9371428571,58.5,2,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.4594594592857199,0.5287784678260871,0.1266536202739726,93.71428568,168.68571426000003,44.98285712,30.49,54.88,14.63
13,chana masala,vegetarian,263.0,42.08,10.52,7.364,3.156,6.312,0.0,unknown,pan-india,100,dinner,0.04,1.052,47.5,8,Medium,[],False,False,False,False,False,False,False,False,False,False,0.1968613775074724,0.19895652173913042,0.549041095890411,42.08,66.276,168.32,15.21,23.95,60.84
14,vegetable biryani,vegetarian,342.0,62.7,9.12,11.4,4.56,2.28,0.0,unknown,pan-india,100,lunch,0.02666666667,1.14,30.0,3,Medium,[],False,False,False,False,False,False,False,False,False,False,0.16838128451128348,0.3159420289855073,0.8315068493150685,36.48,102.60000000000001,250.8,9.36,26.32,64.33
15,methi thepla,vegetarian,225.0,30.68181818,6.136363636,9.204545454,2.045454545,4.090909091,0.0,gluten,pan-india,100,dinner,0.02727272727,1.022727273,29.0,9,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.1076853980016185,0.2523056653333333,0.3929016189041096,24.545454544,82.840909086,122.72727272,10.67,36.0,53.33
16,chicken tikka,non-vegetarian,230.0,5.0,28.5,10.0,2.0,0.0,80.0,unknown,pan-india,100,lunch,0.1239130435,0.9739130435,71.0,2,Medium,[],False,False,False,False,False,False,False,False,False,False,0.5626271432728129,0.2753623188405797,0.0410958904109589,114.0,90.0,20.0,50.89,40.18,8.93
17,aloo paratha,vegetarian,313.9999999,44.85714284,5.382857141,8.971428568,2.69142857,3.588571427,0.0,gluten,north india,100,breakfast,0.01714285714,0.8971428571,27.5,2,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.09235687296530967,0.24554865414492755,0.5870841484931507,21.531428564,80.742857112,179.42857136,7.64,28.66,63.69
18,keema matar,vegetarian,320.0,9.142857143,22.85714286,18.28571429,3.657142857,1.828571429,77.71428571,unknown,pan-india,100,dinner,0.07142857143,0.9142857143,55.5,2,Medium,[],False,False,False,False,False,False,False,False,False,False,0.44783493176466393,0.5155279504347827,0.09784735812328768,91.42857144,164.57142861,36.571428572,31.25,56.25,12.5
19,palak chaat,vegetarian,183.0,25.41666667,5.083333333,7.116666667,2.033333333,3.05,0.0,unknown,pan-india,100,snacks,0.02777777778,1.016666667,23.0,5,Low,[],False,False,False,False,False,False,False,False,False,False,0.08626368303215778,0.1917874396231884,0.32077625575342467,20.333333332,64.050000003,101.66666668,10.93,34.43,54.64
20,malai kofta,vegetarian,407.0,15.2625,8.14,25.94625,5.0875,3.0525,50.875,milk,pan-india,100,dinner,0.02,0.80375,5.5,4,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.14844521941395125,0.737572463768116,0.1816780821917808,32.56,233.51624999999999,61.05,9.95,71.38,18.66
21,hyderabadi biryani,vegetarian,514.0,67.04347826,31.28695652,20.11304348,6.704347826,3.352173913,111.7391304,unknown,south india,100,lunch,0.06086956522,1.117391304,59.0,2,High,[],False,False,False,False,False,False,False,False,False,False,0.6193219867484809,0.5684940139130435,0.8910065515068493,125.14782608,181.01739132,268.17391304,21.79,31.52,46.69
22,saag aloo,vegetarian,174.0,27.1875,5.4375,6.525,2.175,4.35,0.0,unknown,pan-india,100,dinner,0.03125,1.0875,25.0,3,Low,[],False,False,False,False,False,False,False,False,False,False,0.09346846846952228,0.1746376811594203,0.34503424657534243,21.75,58.725,108.75,11.49,31.03,57.47
23,chicken shawarma,non-vegetarian,342.0,14.65714286,27.84857142,17.58857143,4.885714285,2.931428571,73.28571428,unknown,pan-india,100,lunch,0.08142857143,0.96,75.0,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.549375181459402,0.49532091101449266,0.173385518630137,111.39428568,158.29714287,58.62857144,33.93,48.21,17.86
24,methi paratha,vegetarian,236.0,35.91304348,6.156521739,8.208695652,3.07826087,4.104347826,0.0,gluten,pan-india,100,breakfast,0.02608695652,1.026086957,27.5,3,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.10809547275023762,0.2234404536811594,0.46456223945205477,24.626086956,73.878260868,143.65217392,10.17,30.51,59.32
25,kadhai paneer,vegetarian,289.9999999,19.33333333,11.6,17.39999999,3.866666665,1.933333333,28.99999999,milk,pan-india,100,lunch,0.04,0.9666666667,31.0,1,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.2188317349616753,0.48985507217391305,0.23744292232876707,46.4,156.59999991,77.33333332,16.55,55.86,27.59
26,masoor dal,vegetarian,195.0,32.5,13.0,3.25,0.0,5.416666667,0.0,unknown,pan-india,100,lunch,0.06666666667,1.083333333,58.0,3,Low,[],False,False,False,False,False,False,False,False,False,False,0.24731182795786422,0.07971014492753624,0.4178082191780822,52.0,29.25,130.0,24.62,13.85,61.54
27,chicken pakora,non-vegetarian,294.9999999,19.66666666,19.66666666,14.74999999,2.949999999,1.966666666,68.8333333,unknown,pan-india,100,lunch,0.06666666667,0.9833333333,44.5,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.3829313182802872,0.4130434779710145,0.24200913232876714,78.66666664,132.74999990999999,78.66666664,27.12,45.76,27.12
28,chana pulao,vegetarian,337.9999999,48.28571427,11.58857142,9.657142853,3.862857141,3.862857141,0.0,unknown,pan-india,100,dinner,0.03428571429,0.9657142857,50.0,4,Medium,[],False,False,False,False,False,False,False,False,False,False,0.21859924423223642,0.26542443052173914,0.6340508804109589,46.35428568,86.914285677,193.14285708,14.2,26.63,59.17
29,prawn curry,non-vegetarian,393.0,12.41052632,29.475,25.85526316,5.171052632,2.068421053,87.90789474,unknown,pan-india,100,lunch,0.075,1.018421053,68.0,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.5824614937523017,0.7349351640579711,0.1426099495890411,117.9,232.69736844,49.64210528,29.46,58.14,12.4
30,paneer butter masala,vegetarian,390.0,21.08108108,10.54054054,26.87837838,5.27027027,3.162162162,63.24324324,milk,pan-india,100,lunch,0.02702702703,0.9445945946,8.5,2,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.19727923214275236,0.7645906776811595,0.2613846723287671,42.16216216,241.90540542000002,84.32432432,11.44,65.67,22.89
31,dhokla,vegetarian,180.0,36.0,7.2,4.8,1.2,6.0,0.0,gluten,west india,100,dinner,0.04,1.2,32.5,4,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.12932287125936726,0.1246376811594203,0.4657534246575342,28.8,43.199999999999996,144.0,13.33,20.0,66.67
32,palak chana,vegetarian,260.0,36.4,12.48,8.32,3.12,6.24,0.0,unknown,pan-india,100,dinner,0.048,1.04,55.5,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.2367335077021369,0.22666666666666666,0.4712328767123287,49.92,74.88,145.6,18.46,27.69,53.85
33,vegetable pulao,vegetarian,304.0,60.8,9.727999999,9.727999999,3.648,3.648,0.0,unknown,pan-india,100,dinner,0.032,1.216,33.5,4,Medium,[],False,False,False,False,False,False,False,False,False,False,0.18074978202071404,0.2674782608405797,0.8054794520547944,38.911999996,87.551999991,243.2,10.53,23.68,65.79
34,beef curry,non-vegetarian,332.0,6.640000001,23.655,16.6,4.15,1.66,74.70000001,unknown,pan-india,100,lunch,0.07125,0.815,65.5,1,Medium,[],False,False,False,False,False,False,False,False,False,False,0.46406567858243064,0.46666666666666673,0.06356164384931506,94.62,149.4,26.560000004,34.97,55.21,9.82
35,kachori,vegetarian,232.0,36.90909091,5.272727273,8.436363636,4.218181818,3.163636364,0.0,gluten,pan-india,100,dinner,0.02272727273,1.054545455,20.0,4,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.09011650947795394,0.2300395256811594,0.47820672479452053,21.090909092,75.92727272399999,147.63636364,8.62,31.03,60.34
36,khichdi,vegetarian,234.0,40.95,11.7,7.02,2.34,5.85,0.0,unknown,pan-india,100,dinner,0.05,1.17,47.0,9,Low,[],False,False,False,False,False,False,False,False,False,False,0.2208660273185459,0.1889855072463768,0.5335616438356164,46.8,63.17999999999999,163.8,17.09,23.08,59.83
37,butter naan,vegetarian,300.0,50.0,7.0,8.0,2.0,1.0,0.0,gluten,pan-india,100,dinner,0.02333333333,1.0,27.0,2,Medium,['gluten'],False,False,False,False,False,False,False,False,True,False,0.12525428654562598,0.21739130434782608,0.6575342465753424,28.0,72.0,200.0,9.33,24.0,66.67
38,dal makhani,vegetarian,329.9999999,42.42857141,14.14285714,9.428571425,2.828571428,6.599999998,0.0,milk,pan-india,100,lunch,0.04285714286,0.9428571429,69.5,3,Medium,['milk'],True,False,False,False,False,False,False,False,False,False,0.2705608834068346,0.2587991717391304,0.5538160467123288,56.57142856,84.857142825,169.71428564,18.18,27.27,54.55
39,mutton biryani,non-vegetarian,482.0000002,53.02000002,24.10000001,17.35200001,5.784000002,2.892000001,91.58000003,unknown,pan-india,100,lunch,0.05,0.964,49.5,2,High,[],False,False,False,False,False,False,False,False,False,False,0.47311827977393417,0.48846376840579714,0.6989041098630137,96.40000004,156.16800009000002,212.08000008,20.75,33.61,45.64
40,chutney sandwich,vegetarian,165.0,27.5,5.5,5.5,1.1,3.3,0.0,gluten,pan-india,100,dinner,0.03333333333,1.1,24.5,1,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.09473990119256642,0.14492753623188406,0.34931506849315064,22.0,49.5,110.0,12.12,27.27,60.61
41,sev puri,vegetarian,208.0,34.66666667,4.622222222,9.244444444,2.311111111,4.622222222,0.0,gluten,pan-india,100,dinner,0.02222222222,1.155555556,21.0,1,Low,['gluten'],False,False,False,False,False,False,False,False,True,False,0.07688333494440353,0.25346215779710146,0.4474885845205479,18.488888888,83.199999996,138.66666668,7.69,34.62,57.69
42,shahi paneer,vegetarian,434.9999998,17.39999999,11.6,24.64999999,3.866666665,2.899999999,53.16666665,milk,pan-india,100,lunch,0.02666666667,0.7766666667,20.5,4,High,['milk'],True,False,False,False,False,False,False,False,False,False,0.2188317349616753,0.699999999710145,0.21095890397260275,46.4,221.84999991,69.59999996,13.73,65.67,20.6
